mission_id,agency,mission_type,launch_date,cost_million_usd,payload_type,destination,status
1,CNSA,Orbital,2009-05-19,657,Satellite,Asteroid Belt,Failure
2,ISRO,Satellite Deployment,1981-01-28,4414,Satellite,Mars,Failure
3,ESA,Space Tourism,1969-01-15,1024,Rover,Mars,Failure
4,Blue Origin,Asteroid Mining,2011-05-05,1976,Crewed,Mars,Partial Success
5,Roscosmos,Asteroid Mining,1987-06-23,1250,Crewed,Low Earth Orbit,Success
6,Blue Origin,Satellite Deployment,1971-10-22,1307,Cargo,Moon,Partial Success
7,Blue Origin,Orbital,1977-11-03,3133,Scientific Probe,Mars,Success
8,CNSA,Asteroid Mining,1971-01-22,3016,Rover,Moon,Partial Success
9,Roscosmos,Space Tourism,1965-09-23,1079,Space Telescope,Mars,Partial Success
10,ISRO,Asteroid Mining,2001-01-15,51,Satellite,Low Earth Orbit,Failure
11,Roscosmos,Mars,1987-09-02,1866,Satellite,Low Earth Orbit,Success
12,Roscosmos,Asteroid Mining,1976-05-06,156,Rover,Asteroid Belt,Failure
13,Virgin Galactic,Lunar,1995-04-01,2819,Cargo,Low Earth Orbit,Partial Success
14,Blue Origin,Orbital,2013-08-09,746,Cargo,Low Earth Orbit,Success
15,Virgin Galactic,Satellite Deployment,2024-11-09,3393,Space Telescope,Asteroid Belt,Partial Success
16,ESA,Mars,2010-08-26,174,Cargo,Moon,Success
17,Roscosmos,Orbital,1983-09-06,4533,Scientific Probe,Mars,Failure
18,ESA,Satellite Deployment,1996-07-27,3261,Crewed,Deep Space,Success
19,Virgin Galactic,Mars,1967-12-18,3032,Crewed,Mars,Success
20,NASA,Satellite Deployment,1963-03-01,666,Cargo,Deep Space,Partial Success
21,SpaceX,Satellite Deployment,1964-01-20,791,Cargo,Mars,Failure
22,CNSA,Lunar,1989-07-18,429,Satellite,Deep Space,Partial Success
23,Roscosmos,Mars,1965-11-16,3159,Crewed,Low Earth Orbit,Failure
24,ISRO,Space Tourism,1967-12-23,2001,Space Telescope,Mars,Partial Success
25,ISRO,Satellite Deployment,1989-09-06,4559,Crewed,Low Earth Orbit,Partial Success
26,Roscosmos,Satellite Deployment,2014-01-11,3741,Scientific Probe,Deep Space,Partial Success
